,Cage,Trt,Date,Date2,Hour,Behavior,n_prime,n,nadj,prop,Trt2,Behavioral.category
189,1064394,YMP,20200923,,02,Activity,0,15,15,100,Male Pairs,Activity
190,1064394,YMP,20200923,,03,Activity,0,15,15,100,Male Pairs,Activity
191,1064394,YMP,20200923,,04,Activity,0,12,12,80,Male Pairs,Activity
192,1064394,YMP,20200923,,05,Activity,0,12,12,80,Male Pairs,Activity
193,1064394,YMP,20200923,,20,Activity,0,7,7,46.66666667,Male Pairs,Activity
194,1064394,YMP,20200923,,21,Activity,0,15,15,100,Male Pairs,Activity
195,1064394,YMP,20200923,,22,Activity,0,2,2,13.33333333,Male Pairs,Activity
196,1064394,YMP,20200923,,23,Activity,0,10,10,66.66666667,Male Pairs,Activity
197,1064394,YMP,20200924,,00,Activity,0,15,15,100,Male Pairs,Activity
198,1064394,YMP,20200924,,01,Activity,0,3,3,20,Male Pairs,Activity
199,1064394,YMP,20200924,,02,Activity,0,15,15,100,Male Pairs,Activity
200,1064394,YMP,20200924,,03,Activity,0,15,15,100,Male Pairs,Activity
201,1064394,YMP,20200924,,05,Activity,0,9,9,60,Male Pairs,Activity
202,1064394,YMP,20200924,,20,Activity,0,12,12,80,Male Pairs,Activity
203,1064394,YMP,20200924,,21,Activity,0,15,15,100,Male Pairs,Activity
204,1064394,YMP,20200924,,22,Activity,0,4,4,26.66666667,Male Pairs,Activity
205,1064394,YMP,20200924,,23,Activity,0,8,8,53.33333333,Male Pairs,Activity
206,1064394,YMP,20200925,,00,Activity,0,15,15,100,Male Pairs,Activity
207,1064394,YMP,20200925,,02,Activity,0,15,15,100,Male Pairs,Activity
208,1064394,YMP,20200925,,03,Activity,0,15,15,100,Male Pairs,Activity
209,1064394,YMP,20200925,,04,Activity,0,15,15,100,Male Pairs,Activity
210,1064394,YMP,20200925,,05,Activity,0,10,10,66.66666667,Male Pairs,Activity
211,1064394,YMP,20200929,,20,Activity,0,5,5,33.33333333,Male Pairs,Activity
212,1064394,YMP,20200929,,21,Activity,0,15,15,100,Male Pairs,Activity
213,1064394,YMP,20200929,,22,Activity,0,11,11,73.33333333,Male Pairs,Activity
214,1064394,YMP,20200929,,23,Activity,0,5,5,33.33333333,Male Pairs,Activity
215,1064394,YMP,20200930,,00,Activity,0,15,15,100,Male Pairs,Activity
216,1064394,YMP,20200930,,01,Activity,0,5,5,33.33333333,Male Pairs,Activity
217,1064394,YMP,20200930,,02,Activity,0,15,15,100,Male Pairs,Activity
218,1064394,YMP,20200930,,03,Activity,0,15,15,100,Male Pairs,Activity
219,1064394,YMP,20200930,,04,Activity,0,15,15,100,Male Pairs,Activity
220,1064394,YMP,20200930,,05,Activity,0,15,15,100,Male Pairs,Activity
221,1064394,YMP,20200930,,20,Activity,0,11,11,73.33333333,Male Pairs,Activity
222,1064394,YMP,20200930,,21,Activity,0,15,15,100,Male Pairs,Activity
223,1064394,YMP,20200930,,22,Activity,0,2,2,13.33333333,Male Pairs,Activity
224,1064394,YMP,20200930,,23,Activity,0,15,15,100,Male Pairs,Activity
225,1064394,YMP,20201001,,00,Activity,0,0,0,0,Male Pairs,Activity
226,1064394,YMP,20201001,,01,Activity,0,15,15,100,Male Pairs,Activity
227,1064394,YMP,20201001,,02,Activity,0,15,15,100,Male Pairs,Activity
228,1064394,YMP,20201001,,03,Activity,0,15,15,100,Male Pairs,Activity
229,1064394,YMP,20201001,,04,Activity,0,15,15,100,Male Pairs,Activity
230,1064394,YMP,20201001,,05,Activity,0,15,15,100,Male Pairs,Activity
231,1064394,YMP,20201001,,20,Activity,0,6,6,40,Male Pairs,Activity
232,1064394,YMP,20201001,,21,Activity,0,15,15,100,Male Pairs,Activity
233,1064394,YMP,20201001,,22,Activity,0,4,4,26.66666667,Male Pairs,Activity
234,1064394,YMP,20201001,,23,Activity,0,10,10,66.66666667,Male Pairs,Activity
235,1064394,YMP,20201002,,00,Activity,0,15,15,100,Male Pairs,Activity
236,1064394,YMP,20201002,,01,Activity,0,2,2,13.33333333,Male Pairs,Activity
237,1064394,YMP,20201002,,02,Activity,0,9,9,60,Male Pairs,Activity
238,1064394,YMP,20201002,,03,Activity,0,15,15,100,Male Pairs,Activity
239,1064394,YMP,20201002,,04,Activity,0,15,15,100,Male Pairs,Activity
240,1064394,YMP,20201002,,05,Activity,0,15,15,100,Male Pairs,Activity
241,1074455,YFP,20200915,,20,Activity,0,6,6,40,Female Pairs,Activity
242,1074455,YFP,20200915,,21,Activity,0,15,15,100,Female Pairs,Activity
243,1074455,YFP,20200915,,22,Activity,0,15,15,100,Female Pairs,Activity
244,1074455,YFP,20200915,,23,Activity,0,3,3,20,Female Pairs,Activity
245,1074455,YFP,20200916,,00,Activity,0,15,15,100,Female Pairs,Activity
246,1074455,YFP,20200916,,01,Activity,0,15,15,100,Female Pairs,Activity
247,1074455,YFP,20200916,,02,Activity,0,9,9,60,Female Pairs,Activity
248,1074455,YFP,20200916,,03,Activity,0,14,14,93.33333333,Female Pairs,Activity
249,1074455,YFP,20200916,,04,Activity,0,15,15,100,Female Pairs,Activity
250,1074455,YFP,20200916,,05,Activity,0,15,15,100,Female Pairs,Activity
251,1074455,YFP,20200916,,20,Activity,0,13,13,86.66666667,Female Pairs,Activity
